X,Y,U,Pb,Mo
-62.69435181,50.63941238,4.8,4.4,0.97
-62.84509926,50.56774731,2.3,4.23,1.01
-62.51029035,50.29056908,0.7,5.27,0.18
-62.35363514,50.65241864,6.2,3.85,2.26
-62.4927488,50.35596738,1.6,3.95,0.53
-62.93843713,50.50113131,1.8,3.08,0.92
-62.613095,50.61497943,1.9,3.76,1.12
-62.77103756,50.55029538,3.9,3.33,1.52
-62.90206473,50.31341367,2.7,15.86,0.49
-62.60481638,50.58072366,2.1,3.32,4.28
-62.51036557,50.59446627,1.5,4.35,0.73
-62.35076334,50.57644603,1.2,5.05,1.15
-62.93843713,50.50113131,1.8,3.08,0.92
-62.41653213,50.71371463,2.1,5.08,1.46
-62.90856254,50.53534898,1.5,2.87,1.21
-62.62913787,50.31772,2.4,12.14,1.58
-62.82083564,50.55038264,7.1,4.44,0.64
-62.28379087,50.55690672,1.4,7.47,0.37
-62.90612476,50.60471135,2.8,3.97,5.6
-62.88017258,50.56286941,1.9,3.33,1.22
-62.35363514,50.65241864,6.2,3.85,2.26
-62.44917112,50.25863771,6.5,8.85,1.04
-62.90832064,50.4198117,37.6,4.83,3.0
-62.50290453,50.56640282,2.9,2.56,2.47
-62.44917112,50.25863771,6.5,8.85,1.04
-62.32226348,50.51239509,1.0,3.58,0.72
-62.0527385,50.70216232,6.3,16.63,3.3
-62.19742801,50.33748616,2.1,7.44,0.46
-62.63324022,50.29569867,0.1,3.71,0.28
-62.4914714,50.59618396,1.7,3.37,0.96
-62.48925729,50.5069611,1.7,4.08,1.54
-62.85307213,50.53307086,2.5,2.29,0.85
-62.90209728,50.3659359,77.9,5.11,10.02
-62.80537464,50.60296785,1.8,3.57,0.75
-62.9332209,50.60036838,3.6,4.88,5.77
-62.00781511,50.52902622,0.05,4.91,0.2
-62.56160588,50.50810138,3.3,4.41,2.43
-62.21268436,50.31564583,0.6,4.0,5.0
-62.7965415,50.57048748,2.7,3.31,2.02
-62.78410304,50.54834183,1.4,4.73,1.06
-62.39981665,50.32341771,1.7,7.17,0.44
-62.90458177,50.66190603,2.4,3.79,0.85
-62.52479938,50.54868758,2.1,5.14,1.23
-62.6142855,50.48656897,2.8,2.6,0.49
-62.55579095,50.68123404,6.2,2.82,2.01
-62.88909533,50.59312224,1.1,3.88,0.62
-62.80537464,50.60296785,1.8,3.57,0.75
-62.58030004,50.40847859,3.0,5.3,1.47
-62.90209728,50.3659359,77.9,5.11,10.02
-62.69435181,50.63941238,4.8,4.4,0.97
-62.96891445,50.31974626,6.9,4.55,0.67
-62.57591516,50.56845422,2.4,3.32,0.74
-62.42003495,50.3704669,0.8,4.24,0.81
-62.24601158,50.50032472,7.1,4.59,1.13
-62.81183522,50.68373616,5.1,7.0,5.0
-62.27534169,50.39789528,14.3,8.15,0.69
-62.78057445,50.56657344,3.0,6.21,0.4
-62.35363514,50.65241864,6.2,3.85,2.26
-62.26962829,50.60183918,3.1,3.61,1.48
-62.72108715,50.68597347,4.1,6.42,0.61
-62.65212284,50.50343374,5.2,4.07,0.69
-62.24601158,50.50032472,7.1,4.59,1.13
-62.26573221,50.50161993,4.5,9.15,1.68
-62.85307213,50.53307086,2.5,2.29,0.85
-62.9735226,50.36885201,10.9,6.41,1.53
-62.45468829,50.41542224,2.1,8.48,1.89
-62.85543548,50.68298902,1.7,2.0,0.38
-62.26573221,50.50161993,4.5,9.15,1.68
-62.6400681,50.71066208,2.1,3.23,0.7
-62.96426364,50.34025019,8.9,7.14,1.78
-62.83766863,50.51526177,0.6,1.64,0.58
-62.35287485,50.40770569,3.7,8.6,1.16
-62.05184821,50.40087512,3.7,7.12,1.9
-62.60575299,50.52095778,3.6,3.58,5.22
-62.66861655,50.49806789,5.9,5.25,1.16
-62.94313854,50.4961874,0.7,7.15,0.22
-62.53460379,50.70534264,1.7,6.1,0.52
-62.70957472,50.52127203,3.4,6.64,0.52
-62.21164206,50.28523992,0.1,3.0,5.0
-62.05184821,50.40087512,3.7,7.12,1.9
-62.27534169,50.39789528,14.3,8.15,0.69
-62.07140458,50.71067616,5.2,4.4,0.72
-62.35749561,50.56639291,1.4,3.5,0.58
-62.28379087,50.55690672,1.4,7.47,0.37
-62.38499166,50.57800776,2.1,6.44,1.5
-62.30769927,50.57276259,2.5,4.23,1.06
-62.37905504,50.51496018,2.0,5.52,1.56
-62.16019309,50.32930874,0.2,4.48,0.22
-62.44875147,50.59928116,1.6,2.65,0.9
-62.8621442,50.50909696,0.8,3.43,1.62
-62.92992867,50.46695195,4.3,3.59,1.68
-62.12924043,50.68513222,8.5,7.55,7.86
-62.30769927,50.57276259,2.5,4.23,1.06
-62.34564207,50.45362198,1.5,6.49,1.73
-62.3139033,50.39722974,6.0,6.25,0.97
-62.82083564,50.55038264,7.1,4.44,0.64
-62.613095,50.61497943,1.9,3.76,1.12
-62.68068088,50.44441133,2.2,6.35,1.11
-62.90206473,50.31341367,2.7,15.86,0.49
-62.17223325,50.41339576,0.8,3.0,3.0
-62.61387222,50.38152449,2.5,10.86,1.26
-62.81065606,50.66017254,1.5,4.19,0.15
-62.49142723,50.60552769,3.1,6.47,0.56
-62.90612476,50.60471135,2.8,3.97,5.6
-62.90209728,50.3659359,77.9,5.11,10.02
-62.94646204,50.66157307,7.4,2.66,4.03
-62.14070181,50.56128988,7.4,7.25,2.67
-62.28100363,50.6027643,1.6,6.15,0.72
-62.9332209,50.60036838,3.6,4.88,5.77
-62.35749561,50.56639291,1.4,3.5,0.58
-62.80537464,50.60296785,1.8,3.57,0.75
-62.62128586,50.58066146,5.0,3.0,5.0
-62.55579095,50.68123404,6.2,2.82,2.01
-62.96656712,50.56179311,1.4,2.48,0.5
-62.07665111,50.36995654,4.4,9.8,1.36
-62.66097667,50.59618904,5.6,3.74,2.87
-62.07140458,50.71067616,5.2,4.4,0.72
-62.90209728,50.3659359,77.9,5.11,10.02
-62.18989706,50.57414322,7.2,3.89,1.08
-62.39618242,50.72108422,6.2,4.1,1.19
-62.35287485,50.40770569,3.7,8.6,1.16
-62.613095,50.61497943,1.9,3.76,1.12
-62.66424983,50.397959,3.2,10.19,2.28
-62.43458223,50.54357202,3.7,5.49,1.26
-62.51645811,50.33439385,2.3,9.36,1.64
-62.57650653,50.57021904,1.9,2.99,1.0
-62.31456768,50.49841028,0.5,3.17,0.41
-62.46972039,50.55650777,5.0,7.33,2.99
-62.27105717,50.48546523,9.2,6.12,1.49
-62.3139033,50.39722974,6.0,6.25,0.97
-62.80537464,50.60296785,1.8,3.57,0.75
-62.51029035,50.29056908,0.7,5.27,0.18
-62.82630618,50.55974385,3.6,4.53,0.83
-62.77904708,50.57312658,1.2,13.52,0.69
-62.6400681,50.71066208,2.1,3.23,0.7
-62.93843713,50.50113131,1.8,3.08,0.92
-62.31118718,50.70145782,3.1,4.84,3.04
-62.31456768,50.49841028,0.5,3.17,0.41
-62.95300652,50.54016878,3.9,3.5,0.92
-62.35076334,50.57644603,1.2,5.05,1.15
-62.1379063,50.64481709,4.3,7.75,0.95
-62.95300652,50.54016878,3.9,3.5,0.92
-62.39501939,50.70138342,4.8,5.29,1.5
-62.12924043,50.68513222,8.5,7.55,7.86
-62.81065606,50.66017254,1.5,4.19,0.15
-62.82312288,50.61810457,5.1,3.87,1.86
-62.71629739,50.49405693,0.4,3.63,0.06
-62.84509926,50.56774731,2.3,4.23,1.01
-62.50768345,50.70658102,2.4,4.42,1.23
-62.54000699,50.64520051,2.6,4.23,1.5
-62.90856254,50.53534898,1.5,2.87,1.21
-62.53455841,50.73852659,2.3,2.82,0.97
-62.78057445,50.56657344,3.0,6.21,0.4
-62.39981665,50.32341771,1.7,7.17,0.44
-62.98404996,50.42434343,4.8,5.22,1.27
-62.03236233,50.64632671,2.9,9.76,1.18
-62.90209728,50.3659359,77.9,5.11,10.02
-62.7105826,50.62165649,2.1,3.67,1.37
-62.85551886,50.65583021,17.3,4.25,3.21
-62.43464618,50.72684375,4.1,6.89,0.91
-62.4927488,50.35596738,1.6,3.95,0.53
-62.09365923,50.4300779,36.7,5.24,3.65
-62.94313854,50.4961874,0.7,7.15,0.22
-62.62010513,50.56941612,8.1,3.3,1.04
-62.90965461,50.55460429,2.0,2.74,0.76
-62.3963352,50.44400318,2.1,4.82,0.82
-62.80537464,50.60296785,1.8,3.57,0.75
-62.65212284,50.50343374,5.2,4.07,0.69
-62.53455841,50.73852659,2.3,2.82,0.97
-62.72407655,50.50186383,2.3,6.96,0.78
-62.9735226,50.36885201,10.9,6.41,1.53
-62.00781511,50.52902622,0.05,4.91,0.2
-62.68686357,50.59578486,2.6,2.7,0.74
-62.28340173,50.33921693,0.05,7.97,0.12
-62.16019309,50.32930874,0.2,4.48,0.22
-62.02729681,50.40417996,8.4,9.37,14.43
-62.01380092,50.45775831,6.2,6.11,1.62
-62.40397529,50.65394601,0.8,4.8,0.45
-62.14070181,50.56128988,7.4,7.25,2.67
